horodatage,nouveau_nom,classe_cible,dataset_source,nom_original,chemin_original
2026-08-18T01:05:26,client4_malignant_0001.jpg,Malignant,Mendeley-LungData,Malignant_Lung_1.jpg,C:\xampp\htdocs\pulmocare\ai_model\LungData\Client4\Malignant\Malignant_Lung_1.jpg
2026-08-18T01:05:26,client4_malignant_0002.jpg,Malignant,Mendeley-LungData,Malignant_Lung_10.jpg,C:\xampp\htdocs\pulmocare\ai_model\LungData\Client4\Malignant\Malignant_Lung_10.jpg
2026-08-18T01:05:26,client4_malignant_0003.jpg,Malignant,Mendeley-LungData,Malignant_Lung_100.jpg,C:\xampp\htdocs\pulmocare\ai_model\LungData\Client4\Malignant\Malignant_Lung_100.jpg
2026-08-18T01:05:26,client4_malignant_0004.jpg,Malignant,Mendeley-LungData,Malignant_Lung_101.jpg,C:\xampp\htdocs\pulmocare\ai_model\LungData\Client4\Malignant\Malignant_Lung_101.jpg
2026-08-18T01:05:26,client4_malignant_0005.jpg,Malignant,Mendeley-LungData,Malignant_Lung_102.jpg,C:\xampp\htdocs\pulmocare\ai_model\LungData\Client4\Malignant\Malignant_Lung_102.jpg
2026-08-18T01:05:26,client4_malignant_0006.jpg,Malignant,Mendeley-LungData,Malignant_Lung_103.jpg,C:\xampp\htdocs\pulmocare\ai_model\LungData\Client4\Malignant\Malignant_Lung_103.jpg
2026-08-18T01:05:26,client4_malignant_0007.jpg,Malignant,Mendeley-LungData,Malignant_Lung_104.jpg,C:\xampp\htdocs\pulmocare\ai_model\LungData\Client4\Malignant\Malignant_Lung_104.jpg
2026-08-18T01:05:26,client4_malignant_0008.jpg,Malignant,Mendeley-LungData,Malignant_Lung_105.jpg,C:\xampp\htdocs\pulmocare\ai_model\LungData\Client4\Malignant\Malignant_Lung_105.jpg
2026-08-18T01:05:26,client4_malignant_0009.jpg,Malignant,Mendeley-LungData,Malignant_Lung_106.jpg,C:\xampp\htdocs\pulmocare\ai_model\LungData\Client4\Malignant\Malignant_Lung_106.jpg
2026-08-18T01:05:26,client4_malignant_0010.jpg,Malignant,Mendeley-LungData,Malignant_Lung_107.jpg,C:\xampp\htdocs\pulmocare\ai_model\LungData\Client4\Malignant\Malignant_Lung_107.jpg
